date,adj_close,close,high,low,open,volume,symbol
2015-01-01,367.7708740234375,493.6000061035156,495.5,489.2250061035156,492.23748779296875,2002764,INFY.NS
2015-01-02,374.998046875,503.29998779296875,504.76251220703125,493.0,493.0,6778320,INFY.NS
2015-01-05,371.7756042480469,498.9750061035156,507.5,494.375,502.4750061035156,9937024,INFY.NS
2015-01-06,364.0081787109375,488.54998779296875,496.25,483.5249938964844,495.0,9667316,INFY.NS
2015-01-07,365.7497863769531,490.88751220703125,493.6875,487.5,491.25,7249916,INFY.NS
2015-01-08,367.5938415527344,493.36248779296875,499.25,487.5,496.3999938964844,13564920,INFY.NS
2015-01-09,386.4071350097656,518.6124877929688,527.25,478.26251220703125,495.0249938964844,44863328,INFY.NS
2015-01-12,394.13726806640625,528.9874877929688,529.7999877929688,518.75,523.0,12758888,INFY.NS
2015-01-13,389.0987243652344,522.2249755859375,526.9500122070312,518.75,526.9500122070312,8801236,INFY.NS
2015-01-14,396.5028991699219,532.1624755859375,533.25,523.1500244140625,524.625,9921260,INFY.NS
2015-01-15,397.5459899902344,533.5625,538.2000122070312,528.0625,533.7999877929688,8342452,INFY.NS
2015-01-16,394.5749816894531,529.5750122070312,540.0,528.0,537.0,6690960,INFY.NS
2015-01-19,391.6320495605469,525.625,533.0875244140625,523.6500244140625,530.0,4087744,INFY.NS
2015-01-20,395.6739807128906,531.0499877929688,533.25,525.3624877929688,526.75,6804504,INFY.NS
2015-01-21,404.1865234375,542.4749755859375,543.9874877929688,529.5,532.875,8494908,INFY.NS
2015-01-22,409.1319580078125,549.1124877929688,550.75,540.3250122070312,543.7000122070312,9958396,INFY.NS
2015-01-23,412.59661865234375,553.7625122070312,556.25,541.2750244140625,550.0,9486328,INFY.NS
2015-01-27,397.96502685546875,534.125,555.25,532.5250244140625,555.25,13739968,INFY.NS
2015-01-28,399.464599609375,536.1375122070312,538.7000122070312,532.5750122070312,537.5,13134356,INFY.NS
2015-01-29,399.64154052734375,536.375,537.4749755859375,531.9000244140625,536.25,15369424,INFY.NS
2015-01-30,398.9709777832031,535.4749755859375,540.6375122070312,531.7374877929688,540.375,10833744,INFY.NS
2015-02-02,398.0303649902344,534.2125244140625,538.0,531.5125122070312,535.375,8702540,INFY.NS
2015-02-03,395.0592956542969,530.2249755859375,534.9874877929688,525.5,534.2125244140625,5265956,INFY.NS
2015-02-04,399.1479797363281,535.7125244140625,537.5,531.5999755859375,534.9749755859375,5160016,INFY.NS
2015-02-05,408.6383972167969,548.4500122070312,555.0,537.0,537.7000122070312,11875936,INFY.NS
2015-02-06,415.4744567871094,557.625,561.9500122070312,547.125,551.25,7453728,INFY.NS
2015-02-09,418.90185546875,562.2249755859375,563.5,550.0,550.0,6536868,INFY.NS
2015-02-10,424.3782043457031,569.5750122070312,574.5,560.25,560.75,8516920,INFY.NS
2015-02-11,425.5982666015625,571.2125244140625,573.2999877929688,564.0625,570.125,5796972,INFY.NS
2015-02-12,430.5065002441406,577.7999877929688,580.4874877929688,568.25,570.75,6287536,INFY.NS
2015-02-13,427.69378662109375,574.0250244140625,581.6749877929688,571.5,574.9000244140625,5657516,INFY.NS
2015-02-16,424.4619445800781,569.6875,576.7249755859375,566.3125,570.0750122070312,6244276,INFY.NS
2015-02-18,427.76812744140625,574.125,576.2374877929688,564.5374755859375,572.6375122070312,8613764,INFY.NS
2015-02-19,433.02105712890625,581.1749877929688,583.5,573.0125122070312,573.5,9673624,INFY.NS
2015-02-20,425.2721862792969,570.7750244140625,584.0,569.2249755859375,582.125,6971628,INFY.NS
2015-02-23,422.0124816894531,566.4000244140625,577.2999877929688,562.0250244140625,575.0,5090488,INFY.NS
2015-02-24,423.3536682128906,568.2000122070312,573.9874877929688,564.4000244140625,569.75,6437676,INFY.NS
2015-02-25,431.6986083984375,579.4000244140625,583.7000122070312,570.0,572.2249755859375,6044972,INFY.NS
2015-02-26,420.6156005859375,564.5250244140625,577.25,561.3499755859375,576.875,6445776,INFY.NS
2015-02-27,422.0404968261719,566.4375,570.1624755859375,562.875,568.7249755859375,7801076,INFY.NS
2015-03-02,426.8742370605469,572.9249877929688,577.125,569.5125122070312,575.75,7040992,INFY.NS
2015-03-03,428.01971435546875,574.4625244140625,575.7374877929688,569.5750122070312,572.5,4905552,INFY.NS
2015-03-04,423.69830322265625,568.6624755859375,578.4749755859375,562.9749755859375,575.0,4375228,INFY.NS
2015-03-05,418.6596984863281,561.9000244140625,574.6875,558.3375244140625,566.7625122070312,5684916,INFY.NS
2015-03-09,407.93988037109375,547.5125122070312,564.75,544.75,564.75,7984720,INFY.NS
2015-03-10,409.420654296875,549.5,551.7374877929688,540.0499877929688,549.5250244140625,6329916,INFY.NS
2015-03-11,406.4776306152344,545.5499877929688,560.0,542.2750244140625,548.5250244140625,6780912,INFY.NS
2015-03-12,413.20196533203125,554.5750122070312,556.6124877929688,544.25,544.75,5688564,INFY.NS
2015-03-13,413.5929870605469,555.0999755859375,557.5,548.0999755859375,556.25,6179684,INFY.NS
2015-03-16,422.2081604003906,566.6624755859375,570.5,552.6375122070312,552.6375122070312,6818632,INFY.NS
2015-03-17,417.3371276855469,560.125,569.875,554.3125,566.6624755859375,5539312,INFY.NS
2015-03-18,415.28814697265625,557.375,565.7125244140625,555.6375122070312,563.625,4905564,INFY.NS
2015-03-19,415.46514892578125,557.6124877929688,562.25,555.6875,558.6500244140625,6891740,INFY.NS
2015-03-20,420.4942932128906,564.3624877929688,567.2249755859375,558.2374877929688,560.25,6430896,INFY.NS
2015-03-23,416.02392578125,558.3624877929688,568.75,556.375,563.25,5078700,INFY.NS
2015-03-24,411.9260559082031,552.8624877929688,563.3499755859375,551.5,558.7249755859375,6736532,INFY.NS
2015-03-25,413.3509826660156,554.7750244140625,557.2874755859375,550.1875,555.7249755859375,6170968,INFY.NS
2015-03-26,399.7998962402344,536.5875244140625,553.7249755859375,533.0,552.0,15740840,INFY.NS
2015-03-27,410.19366455078125,550.5374755859375,556.1749877929688,540.75,541.0,10074220,INFY.NS
2015-03-30,415.00872802734375,557.0,560.0,548.7249755859375,551.4000244140625,4623088,INFY.NS
2015-03-31,413.2112731933594,554.5875244140625,568.4124755859375,551.0875244140625,561.25,8016412,INFY.NS
2015-04-01,404.9408264160156,543.4874877929688,549.875,539.4249877929688,549.7249755859375,6738488,INFY.NS
2015-04-06,405.7325439453125,544.5499877929688,546.1749877929688,540.0999755859375,544.75,7741752,INFY.NS
2015-04-07,402.2493591308594,539.875,545.7000122070312,534.5,543.75,8542268,INFY.NS
