Strategy,Total Return (%),Ann. Return (%),Sharpe Ratio,Max Drawdown (%),Win Rate (%),# Trades
PPO (RL),92.20509905704937,50.013360875471925,1.2398939803837723,-27.691080521715104,54.54545454545454,66
S3: MeanRev,45.685509025517625,26.235535199915084,0.8410077723129429,-32.68860384857783,100.0,7
Buy & Hold,50.018078767800645,28.62651703232921,0.7844692288624149,-36.88683518628118,52.59259259259259,1
DQN (RL),18.57653959820198,11.155324899754483,0.4779789901633909,-31.263860019222662,53.333333333333336,30
S2: Momentum,13.877265367701085,8.378668689060254,0.45182739054344895,-25.555258829842792,46.666666666666664,15
S4: VolBreak,-5.741827120701348,-3.595069922926697,0.017309937191565015,-28.572924476511186,33.33333333333333,6
S1: Regime,0.0,0.0,0.0,0.0,0.0,0
