Agent,Total Return (%),Ann. Return (%),Sharpe Ratio,Max Drawdown (%),Win Rate (%),# Trades
DQN,18.57653959820198,11.155324899754483,0.4779789901633909,-31.263860019222662,53.333333333333336,30
PPO,92.20509905704937,50.013360875471925,1.2398939803837723,-27.691080521715104,54.54545454545454,66
