,date,open,high,low,close,volume,return_1,return_5,log_return_1,sma_20,sma_50,sma_200,sma_ratio_20,sma_ratio_50,ema_12,ema_20,ema_26,ema_ratio_20,rsi_14,macd,macd_signal,macd_hist,roc_5,roc_10,bb_upper,bb_lower,bb_width,bb_pct_b,atr_14,atr_ratio,stoch_k,stoch_d,obv,obv_change,vwap,vwap_ratio,z_score_20,future_return,target_direction
0,2015-10-26,8333.650390625,8336.2998046875,8252.0498046875,8260.5498046875,133900.0,-0.004207172582956553,0.002718985816038355,-0.004216047634858218,8116.060034179687,8038.038017578125,8374.332746582031,0.017802945012643345,0.02768235067099356,8200.870455477325,8145.685142446561,8122.40537033281,0.014101289238690029,0.6084852038269171,78.46508514451489,59.79756240762812,18.667522736886767,0.27189858160383296,0.8651062637866995,8421.17284746678,7810.947220892594,0.07387227739101698,0.7367808958122269,99.3111031344358,0.012022335738243609,0.6941861542434391,0.8252385095461087,-276600.0,-0.9383321653819201,8100.631557928043,0.01974145418364892,0.9471235832489036,-0.0033471638954116756,0
1,2015-10-27,8230.349609375,8241.9501953125,8217.0498046875,8232.900390625,156700.0,-0.0033471638954116756,-0.005093554124426358,-0.003352778179937369,8134.280053710938,8035.707021484375,8373.519997558593,0.012124040021104232,0.024539641454498717,8205.798137807737,8153.991356558794,8130.59018665075,0.009677350712756772,0.5848266226305863,75.20795115698638,62.87964015749978,12.328310999486604,-0.5093554124426413,1.096570213393102,8420.055822669627,7848.504284752249,0.06942286567297923,0.672548458662915,95.3245957676904,0.011578494970768599,0.582561419624711,0.7252218812595471,-433300.0,-0.5665220535068691,8121.543073916772,0.013711349640669113,0.6901938346516604,-0.007494344931314734,0
2,2015-10-28,8188.89990234375,8209.099609375,8131.7998046875,8171.2001953125,188900.0,-0.007494344931314734,-0.0109481993349827,-0.007522568634822207,8153.0550537109375,8032.014033203125,8372.483996582032,0.002225563482893822,0.017328924169454973,8200.475377423854,8155.630293582957,8133.59833544051,0.001909098520784358,0.5346976997584532,66.8770419833445,63.679120522668725,3.197921460675772,-1.0948199334982678,0.4857532748535132,8390.408339999292,7915.7017674225835,0.058095085327737966,0.5382239106213975,95.73716649410537,0.011716414260542296,0.3334686933877928,0.5367387557519808,-622200.0,-0.4359566120470805,8136.1333129645745,0.004310018162073215,0.15289564248559392,-0.00727557689096936,0
3,2015-10-29,8175.4501953125,8179.60009765625,8098.0,8111.75,217500.0,-0.00727557689096936,-0.01696016481451912,-0.0073021729802976425,8166.477563476563,8023.878037109375,8372.40599609375,-0.006701489479543077,0.010951308392803227,8186.825319358646,8151.451218003628,8131.9799402226945,-0.004870447843194126,0.4907217724435361,54.84537913595159,61.9123722453253,-7.066993109373712,-1.6960164814519167,0.04748575713344774,8355.521298170142,7977.433828782982,0.04660985229909207,0.35525158089669034,94.72737586282999,0.011677797745594968,0.0934595467278021,0.33649655324676847,-839700.0,-0.34956605593056894,8158.242676480433,-0.005698859218109309,-0.5789936764132427,-0.005664646384873739,0
4,2015-10-30,8123.5498046875,8146.10009765625,8044.39990234375,8065.7998046875,199500.0,-0.005664646384873739,-0.027683897222934073,-0.005680751342262694,8172.32255859375,8015.648037109375,8372.224494628907,-0.013034575317176333,0.006256732748985749,8168.206009409239,8143.293940544949,8127.077707960828,-0.00951631322941815,0.45906470737721083,41.12830144841155,57.75555808594255,-16.627256637531005,-2.7683897222934117,-1.3900629049758542,8338.939660047556,8005.705457139943,0.04131446489831685,0.1803366731962318,95.22543439494927,0.011806074623821968,0.07331246832192784,0.1667469028125074,-1039200.0,-0.2375848517327617,8168.405664648867,-0.012561308065957566,-1.278653307215077,-0.0018597039801661053,0
5,2015-11-02,8054.5498046875,8060.7001953125,7995.60009765625,8050.7998046875,136100.0,-0.0018597039801661053,-0.02539177233469081,-0.0018614353765358403,8177.317553710937,8007.333037109375,8371.30549560547,-0.01547179110905661,0.0054283701423034625,8150.143516375125,8134.484975225192,8121.427492903544,-0.010287703621380873,0.44882775399324415,28.71602347158114,51.94765116307027,-23.23162769148913,-2.5391772334690854,-2.274182638747462,8320.298424976154,8034.336682445722,0.03551966878668798,0.05757106561212938,93.43788244039933,0.01160603725185118,0.162018651299242,0.1095968887829905,-1175300.0,-0.13096612779060815,8172.630430596669,-0.014907149778002893,-1.76971573755148,0.0012297400090901522,1
6,2015-11-03,8086.35009765625,8100.35009765625,8031.75,8060.7001953125,132500.0,0.0012297400090901522,-0.02091610333444438,0.0012289844981697455,8174.3875732421875,7998.644033203125,8370.186496582031,-0.013907754790319582,0.00775833526929981,8136.383005442413,8127.457853328745,8116.929174563466,-0.008213842411856187,0.45744355993247376,19.453830878946974,45.448887106245614,-25.99505622729864,-2.091610333444438,-2.5903120154464703,8324.593480140544,8024.181666343831,0.03726869955682132,0.12156156080260114,91.66375495581724,0.011371686421127784,0.19107764495458995,0.14213625485858647,-1042800.0,0.11273717348762018,8173.174257931525,-0.013761368480535774,-1.5137537567895913,-0.0025432033822472278,0
7,2015-11-04,8104.89990234375,8116.10009765625,8027.2998046875,8040.2001953125,122100.0,-0.0025432033822472278,-0.01603191659349501,-0.0025464428174963505,8168.752587890625,7991.993037109375,8368.772497558593,-0.015737089744729427,0.006031931957308334,8121.585650037811,8119.147600184341,8111.245546470802,-0.009723607545950808,0.4420536519409586,10.340103567009464,38.42713039839838,-28.08702683138892,-1.6031916593494993,-2.680459530989027,8330.374687679485,8007.130488101767,0.040203501371293214,0.10230564772371799,91.45922195674102,0.011375241876447612,0.13090735546819576,0.1613345505740091,-1164900.0,-0.11708860759493671,8170.589200865465,-0.015958335726773965,-1.5907774091051239,-0.010540782311541208,0
8,2015-11-05,8030.35009765625,8031.2001953125,7944.10009765625,7955.4501953125,132100.0,-0.010540782311541208,-0.019268321223841922,-0.010596729858654794,8157.655102539063,7985.103037109375,8367.05274658203,-0.024787136093020967,-0.0037135202462721395,8096.0263493108405,8103.557371148928,8099.7051500887055,-0.018276809684069528,0.38433861688592663,-3.6788007778650353,30.0059441631457,-33.684744941010734,-1.9268321223841958,-3.590169213470567,8345.1808991788,7970.129305899324,0.0471439810534498,-0.039138910085594066,91.79071307813452,0.011538091600676391,0.02893958728874226,0.1169748625705092,-1297000.0,-0.11340029187054683,8162.786071247986,-0.025400135949390057,-2.15655564034238,-0.00014460408861305396,0
9,2015-11-06,7956.5498046875,8002.64990234375,7926.14990234375,7954.2998046875,219500.0,-0.00014460408861305396,-0.013823799585901075,-0.00014461454479229208,8148.902587890625,7988.009033203125,8365.436496582031,-0.02388085771111159,-0.004219978767613819,8074.222265522634,8089.342364819268,8088.93438376269,-0.016693886108600342,0.3835986990125737,-14.712118240056043,21.062331682505352,-35.774449922561395,-1.382379958590107,-4.112500016186867,8357.182871989246,7940.622303792004,0.05236923153836384,0.03283436297076524,90.69851928683919,0.011402451694540128,0.06863320503769701,0.0761600492648782,-1516500.0,-0.169236700077101,8150.0451527923515,-0.024017701059948826,-1.8686625481169423,-0.004915531264230055,0
10,2015-11-09,7788.25,7937.75,7771.7001953125,7915.2001953125,211800.0,-0.004915531264230055,-0.016842998542337173,-0.004927652224989373,8135.177587890625,7988.699033203125,8362.54174560547,-0.02704026927519876,-0.009200351344460955,8049.757331644152,8072.757396294814,8076.065184618232,-0.019517148013716845,0.3583438908660598,-26.30785297407965,11.588294751188352,-37.896147725268,-1.6842998542337178,-4.180709729260748,8366.986522626179,7903.36865315507,0.058573107190096126,0.025520030474509348,97.26288286456496,0.012288114067179941,0.25416241459828764,0.11724506897490883,-1728300.0,-0.1396636993076162,8129.734205214895,-0.02638880982908154,-1.8979198781019646,-0.01665783484975325,0
11,2015-11-10,7877.60009765625,7885.10009765625,7772.85009765625,7783.35009765625,165200.0,-0.01665783484975325,-0.03440769299638957,-0.016798136847989233,8117.165087890625,7988.529033203125,8358.889497070313,-0.04112457817722193,-0.025684194761523615,8008.771603338321,8045.194796424475,8054.382585584011,-0.03254671955048205,0.28892407564770195,-45.61098224569014,0.14843935181265344,-45.759421597502794,-3.4407692996389576,-5.460412146862163,8397.189788548949,7837.140387232301,0.07195480021967561,-0.09604561570745813,100.48339820682817,0.01291004476813732,0.020633918533252617,0.11447651272307896,-1893500.0,-0.0955852571891454,8110.789985249754,-0.04037089952877393,-2.384182462829833,-0.002710927478722036,0
12,2015-11-13,7762.4501953125,7775.10009765625,7730.89990234375,7762.25,160900.0,-0.002710927478722036,-0.03457005902347399,-0.0027146086971354118,8098.692578125,7984.795029296875,8354.94724609375,-0.04154282618823557,-0.02787110107151647,7970.845202824733,8018.247672955476,8032.743134800011,-0.03192688519948361,0.2794365980193003,-61.89793197527797,-12.260834913605473,-49.6370970616725,-3.457005902347396,-5.004775131407242,8420.331304705665,7777.053851544336,0.08287255024784432,-0.023013167135865993,97.0524551429476,0.012503134418879526,0.05178411416136835,0.10886014909763604,-2054400.0,-0.08497491418008978,8092.463969153185,-0.0408051207162482,-2.092052668543464,0.005713562131630656,1
13,2015-11-16,7732.9501953125,7838.85009765625,7714.14990234375,7806.60009765625,149500.0,0.005713562131630656,-0.018710455599854736,0.005697301642988936,8083.627587890625,7980.88802734375,8350.502248535156,-0.03427019456578706,-0.021838162506523373,7945.576725106504,7998.090761022217,8015.991798715288,-0.02394204680686729,0.3294163108134778,-70.41507360878313,-23.891682652641006,-46.52339095614212,-1.871045559985471,-3.7618257754954234,8430.671843610853,7736.583332170398,0.08891047354261676,0.10087584556117377,99.02729372648704,0.01268507320571188,0.14859794233547827,0.07367199167669959,-1904900.0,0.07277063862928349,8077.337896426701,-0.03351819649518706,-1.5964966177553042,0.00396455648349936,1
14,2015-11-17,7848.75,7860.4501953125,7793.0,7837.5498046875,145000.0,0.00396455648349936,-0.014677596126210779,0.0039567183391247835,8066.530078125,7978.21302734375,8346.042497558594,-0.0283864649632255,-0.01763091837409636,7928.957198888196,7982.801146133196,8002.773873231748,-0.018195535475170277,0.3624609262268105,-73.81667434355222,-33.876680990823246,-39.939993352728976,-1.4677596126210728,-2.8298495564860264,8427.115831839474,7705.944324410526,0.09201491861622721,0.18248846345325181,96.77178669691655,0.01234719894718105,0.233800367274628,0.1447274745904914,-1759900.0,0.07611948133760302,8061.500489977941,-0.02778027311030451,-1.2700461461869923,-0.01349273722468125,0
15,2015-11-18,7823.14990234375,7843.39990234375,7725.0498046875,7731.7998046875,143600.0,-0.01349273722468125,-0.023170657229063196,-0.013584591382027576,8041.212548828125,7977.132021484375,8340.894494628907,-0.03847836905961621,-0.030754438579696952,7898.625292088089,7958.896256471702,7982.701720006248,-0.02853366151110981,0.30701199323854234,-84.07642791815942,-43.916630376290485,-40.15979754186894,-2.3170657229063196,-3.962339242546627,8421.621244827767,7660.803852828483,0.09840107235291182,0.09331536398300884,98.31309462258324,0.01271542164904214,0.03565999149613725,0.13935276703541435,-1903500.0,-0.0815955452014319,8040.923200534462,-0.03844376922122761,-1.6267385440679627,0.014349853606560714,1
16,2015-11-19,7788.5,7854.89990234375,7765.4501953125,7842.75,132600.0,0.014349853606560714,0.007631662664337346,0.014247868942778304,8019.59755859375,7979.647021484375,8335.930246582031,-0.0220519243393007,-0.017155774073188135,7890.029093305306,7947.8347082363025,7972.334925931711,-0.013221803433758339,0.410329413583734,-82.30583262640539,-51.59447082631347,-30.71136180009192,0.7631662664337392,-2.7038618238058714,8393.126829190785,7646.068287996714,0.09525466720143713,0.2632748321020689,100.08359483927372,0.01276128843062366,0.27629185453431554,0.18191740443502677,-1770900.0,0.06966115051221435,8023.059794319835,-0.02247394372499767,-0.9469006715917262,0.0017595619760288894,1
17,2015-11-20,7841.89990234375,7906.9501953125,7817.7998046875,7856.5498046875,151900.0,0.0017595619760288894,0.01214851424361485,0.0017580157603643014,7999.342529296875,7980.318017578125,8330.660495605469,-0.01785055760350418,-0.015509183044836394,7884.878433517951,7939.1409078983215,7963.758250283991,-0.010403027754382732,0.4217143865779024,-78.87981676604068,-57.05154001425891,-21.828276751781765,1.2148514243614932,-2.284151963430831,8361.36294840368,7637.322110190072,0.09215760813755915,0.3027836040827733,99.30265168111131,0.012639473324774672,0.32966741047710124,0.21387308550251785,-1619000.0,0.08577559433056638,8003.7532189906915,-0.018391798232099243,-0.7888655836689049,-0.0009291361817810317,0
18,2015-11-23,7869.5,7877.5,7825.2001953125,7849.25,127000.0,-0.0009291361817810317,0.005463313325932306,-0.0009295680963622142,7979.22001953125,7984.202021484375,8325.335246582032,-0.0162885619412817,-0.01690238061627669,7879.397136053651,7930.579869050863,7955.276157670362,-0.010255223501153155,0.4171344643781725,-75.87902161671173,-60.81703633474948,-15.061985281962244,0.5463313325932327,-1.3349363355335333,8326.623710405589,7631.816328656911,0.08851895171496364,0.3129409345016691,95.94530546728194,0.01222349975695537,0.3361115362842781,0.31402360043189814,-1746000.0,-0.07844348363187152,7986.215474000448,-0.01715023523298942,-0.7482362619933225,-0.002248610038379506,0
19,2015-11-24,7837.0,7870.35009765625,7812.64990234375,7831.60009765625,130600.0,-0.002248610038379506,-0.0007591284495176431,-0.0022511419581774496,7956.027514648437,7989.65802734375,8319.731499023437,-0.01563938997987313,-0.019782815377900276,7872.043745530974,7921.153224156137,7946.1149680396875,-0.011305566748385676,0.4056525745250761,-74.07122250871362,-63.467873569542306,-10.603348939171312,-0.07591284495176777,-1.5425582394938469,8275.338141389777,7636.716887907098,0.08154416026346879,0.30516242402890514,93.21351188479753,0.011902230798619733,0.2922008663814362,0.31932660438093835,-1876600.0,-0.07479954180985109,7964.914855870029,-0.016737750575642085,-0.7793503038843793,0.006665267171503286,1
